"refNum","Стара оферта","EUR","Нощувки","Score","t","p","n","d","Оператор","spo (ID при оператора)","PV id","PV EUR","PV заглавие"
"Е606","Виена – изкуство и култура (самолет, на български)","429","3","0.9","1","1","1","0","Bohemia","6000002216","21-6000002216","429.00","Виена - изкуство и култура, със самолет и обслужване на български език!"
"Е697","Виена – история, изкуство и култура (самолет, на български)","479","4","0.9","1","1","1","0","Bohemia","6000004336","21-6000004336","479.00","Виена - история, изкуство и култура, със самолет и обслужване на български език!"
"Е698","Виена от София","560","4","0.9","1","1","1","0","Rual Travel","3265","31-3265","560.00","Виена от София"
"Е450","Пулия – очарованието на италианския юг","664","4","0.9","1","1","1","0","Rual Travel","3982","31-3982","664.00","Пулия - очарованието на италианския юг"
"Е694","Старите цивилизации на Средиземно море – круиз с Costa Fascinosa (10.09.2026)","1645","10","0.9","1","1","1","0","Apollo 2000 Ltd.","370","36-370","1645.00","Старите цивилизации на Средиземно море – Круиз с Costa Fascinosa 10.09.2026"
"Е691","Италия и Швейцария – Премиум – приказните езера","818","7","0.9","1","1","1","0","PREMIO TRAVEL","465","92-465","817.56","ИТАЛИЯ И ШВЕЙЦАРИЯ – ПРЕМИУМ – ПРИКАЗНИТЕ ЕЗЕРА"
"Е621","Швейцария – Небесният химн на алпийските върхове","1390","7","0.9","1","1","1","0","Mondel Travel","12801","16-12801","1390.00","ШВЕЙЦАРИЯ – Небесният химн на алпийските върхове"
"Е475","Най-доброто от Швейцария (самолет, на български)","1439","6","0.9","1","1","1","0","Bohemia","6000002771","21-6000002771","1439.00","Най-доброто от Швейцария – със самолет, на български език!"
"Е150","Ликия – земя на легенди","378","7","0.9","1","1","1","0","PREMIO TRAVEL","2","92-2","377.84","ЛИКИЯ – ЗЕМЯ НА ЛЕГЕНДИ"
"Е687","Лисабон","838","4","0.9","1","1","1","0","Rual Travel","4432","31-4432","838.00","Лисабон"
"Е686","Португалия","1150","7","0.9","1","1","1","0","Rual Travel","1270","31-1270","1150.00","Португалия"
"Е334","Мадейра – Цветната градина на Португалия","1457","7","0.9","1","1","1","0","PREMIO TRAVEL","109","92-109","1456.67","МАДЕЙРА – ЦВЕТНАТА ГРАДИНА НА ПОРТУГАЛИЯ"
"Е284","Лисабон и Порто","1882","6","0.9","1","1","1","0","2МКО","1793","20-1793","1881.55","ЛИСАБОН И  ПОРТО"
"Е506","Северен Кипър – между два свята","501","7","0.9","1","1","1","0","PREMIO TRAVEL","253","92-253","500.56","СЕВЕРЕН КИПЪР – МЕЖДУ ДВА СВЯТА"
"Е1101","Армения и Грузия – Пътешествие из Кавказките съкровища","1171","7","0.9","1","1","1","0","Abax.bg","3108","109-3108","1171.37","Армения и Грузия – Пътешествие из Кавказките съкровища хотели 3*"
"Е504","Коледа – Лондон","717","4","0.9","1","1","1","0","Rual Travel","3012","31-3012","717.00","Коледа - Лондон"
"Е649","Малта – страна на рицари","562","4","0.9","1","1","1","0","PREMIO TRAVEL","460","92-460","561.91","МАЛТА – СТРАНА НА РИЦАРИ"
"Е488","Брюксел – с вкус на шоколад (самолет, на български)","531","3","0.9","1","1","1","0","Bohemia","6000004055","21-6000004055","534.00","Брюксел - с вкус на шоколад, със самолет и обслужване на български език"
"Е567","Най-доброто от Дубай и Абу Даби – 6 дни (Wizz Air)","1035","5","0.9","1","1","1","0","Bohemia","6000005350","21-6000005350","1035.00","Най-доброто от ДУБАЙ и АБУ ДАБИ - 6 дни, с полет на Wizz Air!"
"Е566","Най-доброто от Дубай и Абу Даби – 8 дни (Wizz Air)","1175","7","0.9","1","1","1","0","Bohemia","6000005355","21-6000005355","1175.00","Най-доброто от ДУБАЙ и АБУ ДАБИ - 8 дни, с полет на Wizz Air!"
